Date,Open,High,Low,Close,Volume
2/1/2017 16:00:00,11244.82,11259.89,11171.57,11207.24,0
2/2/2017 16:00:00,11196.13,11225.46,11181.43,11215.39,0
2/3/2017 16:00:00,11268.02,11316.73,11257.17,11310.74,0
2/6/2017 16:00:00,11247.61,11247.61,11247.61,11247.82,0
2/7/2017 16:00:00,11271.75,11285.18,11229.2,11243.38,0
2/8/2017 16:00:00,11222.08,11254.79,11196.93,11251.8,0
2/9/2017 16:00:00,11274.39,11339.76,11274.39,11327.68,0
2/10/2017 16:00:00,11347.93,11390.89,11345.78,11377.72,0
2/13/2017 16:00:00,11378.11,11450.64,11378.11,11433.93,0
2/14/2017 16:00:00,11419.11,11468.88,11396.51,11468.87,0
2/15/2017 16:00:00,11469.1,11523.93,11445.42,11514.4,0
2/16/2017 16:00:00,11519.33,11525.21,11467.37,11504.19,0
2/17/2017 16:00:00,11468.02,11510.92,11455.66,11510.91,0
2/21/2017 16:00:00,11517.94,11582.64,11517.94,11578.25,0
2/22/2017 16:00:00,11544.17,11567.95,11530.85,11550.18,0
2/23/2017 16:00:00,11586.96,11590.35,11525.41,11556.15,0
2/24/2017 16:00:00,11556.15,11556.15,11486.17,11541.29,0
2/27/2017 16:00:00,11531.4,11564.64,11517.34,11558.35,0
2/28/2017 16:00:00,11528.91,11542,11498.91,11512.39,0
3/1/2017 16:00:00,11593.21,11687.07,11593.21,11661.22,0
3/2/2017 16:00:00,11633.64,11633.64,11569.65,11575.91,0
3/3/2017 16:00:00,11575.92,11604.52,11558.82,11598.37,0
3/6/2017 16:00:00,11556.63,11562.59,11517.6,11547.79,0
3/7/2017 16:00:00,11547.79,11547.79,11498.93,11506.32,0
3/8/2017 16:00:00,11511.84,11521.23,11443.03,11448.21,0
3/9/2017 16:00:00,11454.59,11484.02,11411.84,11457.64,0
3/10/2017 16:00:00,11510.94,11520.67,11454.08,11500.76,0
3/13/2017 16:00:00,11507.19,11522.44,11498.1,11519.44,0
3/14/2017 16:00:00,11479.03,11479.03,11428.73,11459.29,0
3/15/2017 16:00:00,11490.32,11609.86,11490.32,11590.31,0
3/16/2017 16:00:00,11619.06,11630.93,11583.43,11600.23,0
3/17/2017 16:00:00,11614.9,11621.57,11582.47,11589.02,0
3/20/2017 16:00:00,11582.72,11591.33,11540.45,11556.93,0
3/21/2017 16:00:00,11598.56,11607.23,11412.88,11420.43,0
3/22/2017 16:00:00,11406.6,11440.88,11372.3,11426.69,0
3/23/2017 16:00:00,11410.47,11494.04,11404.16,11430.9,0
3/24/2017 16:00:00,11440.91,11468.92,11381.96,11418.89,0
3/27/2017 16:00:00,11341.33,11427.85,11324.5,11414.33,0
3/28/2017 16:00:00,11403.71,11511.89,11402.74,11493.84,0
3/29/2017 16:00:00,11463.73,11507.52,11445.72,11496.67,0
3/30/2017 16:00:00,11494.86,11537.7,11488.58,11519.84,0
3/31/2017 16:00:00,11497.81,11528.29,11489.88,11492.85,0
4/3/2017 16:00:00,11495.33,11502.25,11394.34,11463.91,0
4/4/2017 16:00:00,11463.78,11472.04,11424.17,11470.54,0
4/5/2017 16:00:00,11501.62,11560.82,11418.86,11423.36,0
4/6/2017 16:00:00,11426.58,11485.38,11410.45,11457.29,0
4/7/2017 16:00:00,11444.3,11483.72,11428.36,11445.58,0
4/10/2017 16:00:00,11454.11,11496.74,11435.71,11464.34,0
4/11/2017 16:00:00,11456.21,11474.67,11393.38,11473.62,0
4/12/2017 16:00:00,11460.22,11462.51,11405.55,11423.17,0
4/13/2017 16:00:00,11390.75,11420.39,11324.53,11324.53,0
4/17/2017 16:00:00,11351.67,11427.24,11343.26,11427.08,0
4/18/2017 16:00:00,11426.83,11426.83,11333.74,11378.58,0
4/19/2017 16:00:00,11401.99,11416.9,11327.22,11342.42,0
4/20/2017 16:00:00,11375.66,11449.15,11366.96,11426.91,0
